ISO,GDP.2011,pop.2010,Country name,NOC,F.2012,M.2012,NOC SIZE,NOC.Size.Per.100K.pop,Gold,Silver,Bronze,Total,Bronze.Per.100K.pop,Silver.Per.100K.pop,Gold.Per.100K.pop,Total.Per.100K.pop,Bronze.Per.1BN.GDP,Silver.Per.1BN.GDP,Gold.Per.1BN.GDP,Total.Per.1BN.GDP,Bronze.Per.Athlete,Silver.Per.Athlete,Gold.Per.Athlete,Total.Per.Athlete,Bronze.pop,Silver.pop,Gold.pop,Total.pop,Bronze.GDP,Silver.GDP,Gold.GDP,Total.GDP,Bronze.Athlete,Silver.Athlete,Gold.Athlete,Total.Athlete,GDP rank score,Population rank score,Athlete rank score,Official medal ranking,GDP rank,Pop rank,Team size rank,,"Total medal score (gold=3, silver =2, bronze=1)",Model-based score,Model-based rank
BHS,"7,787,514,000.00","343,000",Bahamas,BAH,11,15,26,7.580174927,1,0,0,1,0,0,0.29154519,0.29154519,0,0,0.128410684,0.128410684,0,0,0.038461538,0.038461538,0,0,33.9,33.9,0,0,12.99,12.99,0,0,6.35,6.35,38.97,101.7,19.05,58,12,3,36,,3,2.232369518,35
BHR,"22,945,000,000.00","1,262,000",Bahrain,BRN,8,4,12,0.950871632,0,0,1,1,0.079239303,0,0,0.079239303,0.04358248,0,0,0.04358248,0.083333333,0,0,0.083333333,11.4,0,0,11.4,4.9,0,0,4.9,8.86,0,0,8.86,4.9,11.4,8.86,79,48,43,70,,1,-0.745983434,108
BGD,"110,612,000,000.00","148,692,000",Bangladesh,BAN,1,4,5,0.003362656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-6.172131553,171
BRB,"3,685,000,000.00","274,000",Barbados,BAR,0,6,6,2.189781022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.4414056,92
BLR,"55,136,144,037.00","9,490,000",Belarus,BLR,77,95,172,1.812434141,2,5,5,12,0.052687039,0.052687039,0.021074816,0.126448894,0.090684615,0.090684615,0.036273846,0.217643076,0.029069767,0.029069767,0.011627907,0.069767442,7.6,8.7,2.5,18.8,10.2,13.6,3.67,27.47,3.09,3.75,1.92,8.76,48.41,32.5,16.35,22,10,17,43,,21,20.52258999,10
BEL,"511,533,000,000.00","10,896,000",Belgium,BEL,44,74,118,1.082966226,0,1,2,3,0.01835536,0.00917768,0,0.02753304,0.003909816,0.001954908,0,0.005864724,0.016949153,0.008474576,0,0.025423729,2.6,1.5,0,4.1,0.44,0.29,0,0.73,1.8,1.09,0,2.89,1.02,5.6,3.98,53,76,57,81,,4,-13.83840704,194
BLZ,"1,474,000,000.00","345,000",Belize,BIZ,1,2,3,0.869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.226797653,75
BEN,"7,294,865,847.00","8,850,000",Benin,BEN,1,4,5,0.056497175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.788959421,110
BMU,"6,015,000,000.00","64,600",Bermuda,BER,3,5,8,12.38390093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.611213549,101
BTN,"1,688,939,892.00","726,000",Bhutan,BHU,2,0,2,0.275482094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.254934596,77
BOL,"24,426,829,466.00","9,929,000",Bolivia,BOL,2,3,5,0.050357539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.917336355,143
BIH,"18,088,238,053.00","3,760,000",Bosnia and Herzegovina,BIH,2,4,6,0.159574468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.50436418,135
BWA,"17,627,441,191.00","2,007,000",Botswana,BOT,1,3,4,0.199302441,0,1,0,1,0,0.04982561,0,0.04982561,0,0.056729731,0,0.056729731,0,0.25,0,0.25,0,8.2,0,8.2,0,8.51,0,8.51,0,32.28,0,32.28,17.02,16.4,64.56,69,26,32,4,,2,0.54511459,43
